CODE,SHARE NAME,INDUSTRY,SHARES,WEIGHT,MARKET CAP,CLOSING,RSI Comparison Sector,RSI Comparison Market,Commodity,Current Price,Current Value,Next Week Prediction,Next Month Prediction,Z-Score,Overbought_Oversold,Overbought_Oversold_Value,Sector RSI 1m,Sector RSI 3m,Sector RSI 6m,Market RSI 1m,Market RSI 3m,Market RSI 6m
MKR.JO,Montauk Renewables Inc,Alternative Energy,27.0,0.0007,2657.53,97.54,STXFIN,STXCAP,0,,,,,,,,0.99,1.29,0.72,1.0,1.42,0.91
ABG.JO,ABSA GROUP LTD,Banks,558.0,0.0216,87133.85,156.18,STXFIN,STXCAP,0,,,,,,,,1.03,0.98,0.9,1.03,1.08,1.1
CPI.JO,CAPITEC,Banks,58.0,0.0375999999999999,151537.4,2635.0,STXFIN,STXCAP,0,,,,,,,,1.06,1.05,1.25,1.06,1.15,1.45
FSR.JO,FIRSTRAND,Banks,3415.0,0.0659,265419.61,77.72,STXFIN,STXCAP,0,,,,,,,,1.05,1.05,1.05,1.05,1.15,1.25
INP.JO,INVESTECP,Banks,258.0,0.0088,35454.65,137.36,STXFIN,STXCAP,0,,,,,,,,1.03,1.01,1.02,1.03,1.11,1.22
INL.JO,INVLTD,Banks,183.0,0.0062,25024.7,137.04,STXFIN,STXCAP,0,,,,,,,,1.03,1.01,1.01,1.03,1.11,1.21
NED.JO,NEDBANK,Banks,307.0,0.0195,78607.14,255.82,STXFIN,STXCAP,0,,,,,,,,1.03,1.01,1.09,1.03,1.1,1.29
SFN.JO,Sasfin Holdings,Banks,,0.0,,,STXFIN,STXCAP,0,,,,,,,,1.71,1.45,1.04,1.71,1.58,1.24
SBK.JO,STANBANK,Banks,902.0,0.0475,191276.92,212.1,STXFIN,STXCAP,0,,,,,,,,1.02,1.06,0.97,1.02,1.16,1.17
ANH.JO,ANHEUSER-BUSCH INBEV,Beverages,51.0,0.0137,55204.04,1077.98,STXACW,STXCAP,0,,,,,,,,1.02,0.95,,1.0,0.95,1.06
IVT.JO,Invicta,Capital Goods,,0.0,,,STXFIN,STXCAP,0,,,,,,,,1.14,1.06,1.09,1.15,1.16,1.29
AFE.JO,AECI,Chemicals,73.0,0.002,7907.98,107.79,STXFIN,STXCAP,0,,,,,,,,0.89,0.88,0.85,0.89,0.97,1.05
OMN.JO,OMNIA,Chemicals,115.0,0.002,7991.29,69.54,STXFIN,STXCAP,0,,,,,,,,0.99,1.08,0.93,1.0,1.19,1.13
SOL.JO,SASOL,Chemicals,393.0,0.0139,56069.17,142.6,STXFIN,STXCAP,0,,,,,,,,1.05,0.95,0.8,1.05,1.04,1.0
AEG.JO,Aveng,Construction & Materials,,0.0,,,STXFIN,STXCAP,0,,,,,,,,1.19,1.18,1.01,1.19,1.29,1.21
BIK.JO,Brikcor,Construction & Materials,,0.0,,,STXFIN,STXCAP,0,,,,,,,,1.06,0.82,74.9,1.06,0.9,76.3
HLM.JO,Hulamin,Construction & Materials,,0.0,,,STXFIN,STXCAP,0,,,,,,,,1.09,1.36,1.3,1.09,1.49,1.5
MDI.JO,Master Drilling,Construction & Materials,,0.0,,,STXFIN,STXCAP,0,,,,,,,,1.01,0.91,0.91,1.01,0.99,1.11
