CODE,SHARE NAME,INDUSTRY,SHARES,WEIGHT,MARKET CAP,CLOSING,RSI Comparison Sector,RSI Comparison Market,Commodity,Current Price,Current Value,Next Week Prediction,Next Month Prediction,SECTOR RSI 1M,SECTOR RSI 3M,SECTOR RSI 6M,MARKET RSI 1M,MARKET RSI 3M,MARKET RSI 6M
%5EJ300.JO,Capped Top 40 Index,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,0,,,,,1.0,0.92,0.98,1.0,1.0,1.18
%5ETNX,CBOE Interest Rate 10 Year T No,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,0,,,,,0.89,0.77,0.8,0.89,0.84,1.0
4SI.JO,4Sight,Software & Computer Services,,0.0,,,STXFIN,%5EJ300,0,,,,,1.06,0.9,0.72,1.06,0.98,0.92
ABG.JO,ABSA GROUP LTD,Banks,558.0,0.0216,87133.85,156.18,STXFIN,%5EJ300,0,,,,,0.96,0.88,0.81,0.96,0.96,1.02
ACT.JO,Afrocentric,Investment Banking and Brokerage Service,,0.0,,,STXFIN,%5EJ300,0,,,,,1.07,0.83,0.77,1.07,0.91,0.98
ADH.JO,ADVTECH,Consumer Services,351.0,0.0026,10526.51,29.95,STXFIN,%5EJ300,0,,,,,0.98,0.98,1.0,0.98,1.07,1.2
ADR.JO,Adcorp Holdings,Support Services,,0.0,,,STXFIN,%5EJ300,0,,,,,1.04,0.91,1.07,1.04,1.0,1.29
AEG.JO,Aveng,Construction & Materials,,0.0,,,STXFIN,%5EJ300,0,,,,,1.07,1.21,1.09,1.07,1.33,1.3
AEL.JO,Altron,General Industrials,,0.0,,,STXFIN,%5EJ300,0,,,,,1.14,1.34,1.57,1.14,1.47,1.79
AFE.JO,AECI,Chemicals,73.0,0.002,7907.98,107.79,STXFIN,%5EJ300,0,,,,,0.97,0.97,0.97,0.96,1.06,1.18
AFH.JO,ALEXANDER FORBES GROUP HOLDINGS,Investment Banking and Brokerage Service,103.0,0.0002,752.53,7.31,STXFIN,%5EJ300,0,,,,,0.92,0.9,0.93,0.91,0.98,1.14
AFT.JO,AFRIMAT LTD,Industrial Metals & Mining,79.0,0.0014,5794.38,73.07,STXRES,%5EJ300,0,,,,,0.96,1.11,0.92,0.92,1.0,1.16
AGL.JO,ANGLO,Industrial Metals & Mining,278.0,0.0383,154135.89,554.01,STXRES,%5EJ300,0,,,,,0.99,0.89,1.06,0.95,0.8,1.32
AIL.JO,African Rainbow Investements,Investment Banking and Brokerage Service,,0.0,,,STXFIN,%5EJ300,0,,,,,1.04,1.1,1.25,1.04,1.2,1.47
AIP.JO,ADCOCK INGRAM,Pharmaceuticals & Biotechnology,46.0,0.0007,2707.49,59.5,STXFIN,%5EJ300,0,,,,,0.97,0.92,0.93,0.97,1.0,1.13
AME.JO,Africa media Entertainment,Media,,0.0,,,STXFIN,%5EJ300,0,,,,,0.97,1.16,1.29,0.97,1.27,1.51
AMS.JO,ANGLOPLAT,Precious Metals and Mining,39.0,0.0062,24893.42,644.5,STXRES,%5EJ300,0,,,,,1.05,0.96,0.8,1.01,0.86,1.04
ANG.JO,ANGLO GOLD ASHANTI,Precious Metals and Mining,207.0,0.0262,105762.12,511.7,STXRES,%5EJ300,0,,,,,1.02,1.18,1.29,0.97,1.06,1.56
ANH.JO,ANHEUSER-BUSCH INBEV,Beverages,51.0,0.0137,55204.04,1077.98,STXACW,%5EJ300,0,,,,,1.1,0.98,,1.06,0.95,1.04
AOO.JO,African and Overseas,Retailers,,0.0,,,STXFIN,%5EJ300,0,,,,,1.01,0.91,0.9,1.01,0.99,1.11
APN.JO,ASPEN,Pharmaceuticals & Biotechnology,261.0,0.0153,61449.02,235.44,STXFIN,%5EJ300,0,,,,,1.01,0.93,1.11,1.01,1.01,1.33
ARI.JO,AFRICAN RAINBOW,Industrial Metals & Mining,69.0,0.0039,15716.37,228.71,STXRES,%5EJ300,0,,,,,0.94,1.02,1.01,0.9,0.91,1.26
ARL.JO,ASTRAL,Food Producers,25.0,0.0011,4349.38,171.85,STXFIN,%5EJ300,0,,,,,0.99,1.01,0.96,0.98,1.1,1.17
