CODE,SHARE NAME,INDUSTRY,SHARES,WEIGHT,MARKET CAP,CLOSING,RSI Comparison Sector,RSI Comparison Market,Current Price,Current Value,Next Week Prediction,Next Month Prediction,Next Week Volume Prediction,Next Month Volume Prediction,Z-Score,Overbought_Oversold,Overbought_Oversold_Value,SECTOR RSI 1M,SECTOR RSI 3M,SECTOR RSI 6M,MARKET RSI 1M,MARKET RSI 3M,MARKET RSI 6M
%5EJ300.JO,Capped Top 40 Index,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,37108.03,37108.03,-1.0,-1.0,-1.0,-1.0,-0.85,0.02,1.02,1.0,0.91,0.97,1.0,1.0,1.18
%5ETNX,CBOE Interest Rate 10 Year T No,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,3.89,3.89,-1.0,-1.0,-1.0,-1.0,-1.62,-0.03,0.97,0.92,0.81,0.82,0.92,0.89,1.02
4SI.JO,4Sight,Software & Computer Services,,0.0,,,STXFIN,%5EJ300,71.0,71.0,-1.0,-1.0,-1.0,-1.0,-0.69,-0.01,0.99,1.05,0.87,0.67,1.05,0.95,0.87
ABG.JO,ABSA GROUP LTD,Banks,558.0,0.0216,87133.85,156.18,STXFIN,%5EJ300,14899.0,14899.0,-1.0,-1.0,-1.0,-1.0,-1.58,-0.01,0.99,0.97,0.88,0.81,0.97,0.97,1.02
ACT.JO,Afrocentric,Investment Banking and Brokerage Service,,0.0,,,STXFIN,%5EJ300,275.0,275.0,-1.0,-1.0,-1.0,-1.0,0.39,-0.01,0.99,1.07,0.94,0.74,1.07,1.03,0.94
ADH.JO,ADVTECH,Consumer Services,351.0,0.0026,10526.51,29.95,STXFIN,%5EJ300,2861.0,2861.0,-1.0,-1.0,-1.0,-1.0,-2.01,0.04,1.04,0.95,0.96,0.93,0.95,1.05,1.14
ADR.JO,Adcorp Holdings,Support Services,,0.0,,,STXFIN,%5EJ300,450.0,450.0,-1.0,-1.0,-1.0,-1.0,0.26,0.06,1.06,1.05,1.01,1.01,1.05,1.1,1.22
AEG.JO,Aveng,Construction & Materials,,0.0,,,STXFIN,%5EJ300,775.0,775.0,-1.0,-1.0,-1.0,-1.0,-0.54,0.11,1.11,1.07,1.26,1.04,1.07,1.38,1.26
AEL.JO,Altron,General Industrials,,0.0,,,STXFIN,%5EJ300,1581.0,1581.0,-1.0,-1.0,-1.0,-1.0,-0.14,0.1,1.1,1.09,1.26,1.48,1.1,1.38,1.71
AFE.JO,AECI,Chemicals,73.0,0.002,7907.98,107.79,STXFIN,%5EJ300,10406.0,10406.0,-1.0,-1.0,-1.0,-1.0,-0.04,0.03,1.03,0.96,0.96,0.95,0.96,1.05,1.16
AFH.JO,ALEXANDER FORBES GROUP HOLDINGS,Investment Banking and Brokerage Service,103.0,0.0002,752.53,7.31,STXFIN,%5EJ300,659.0,659.0,-1.0,-1.0,-1.0,-1.0,-0.12,0.02,1.02,0.89,0.94,0.92,0.89,1.02,1.12
AFT.JO,AFRIMAT LTD,Industrial Metals & Mining,79.0,0.0014,5794.38,73.07,STXRES,%5EJ300,6572.0,6572.0,-1.0,-1.0,-1.0,-1.0,-1.47,0.0,1.0,0.94,1.08,0.88,0.9,0.99,1.13
