code,share_name,industry,sub_industry,rsi_comparison_market,rsi_comparison_sector,commodity,Current Price,Current Value,Next Week Prediction,Next Month Prediction,Z-Score,Overbought_Oversold,Overbought_Oversold_Value,SECTOR RSI 1M,SECTOR RSI 3M,SECTOR RSI 6M,MARKET RSI 1M,MARKET RSI 3M,MARKET RSI 6M
4SI.JO,4Sight Holdings Ltd,Technology,Software and Computer Services,%5EJ300.JO,STXFIN.JO,False,75.0,75.0,-1.0,-1.0,0.73,0.01,1.01,0.0,0.0,0.0,0.0,0.0,0.0
ABG.JO,Absa Group Limited,Financials,Banks,%5EJ300.JO,STXFIN.JO,False,15589.0,15589.0,-1.0,-1.0,0.83,-0.01,0.99,0.0,0.0,0.0,0.0,0.0,0.0
ACT.JO,AfroCentric Inv Corp Ltd,Healthcare,Healthcare Providers,%5EJ300.JO,STXFIN.JO,False,276.0,276.0,-1.0,-1.0,0.44,-0.01,0.99,0.0,0.0,0.0,0.0,0.0,0.0
ADH.JO,ADvTECH Ltd,Consumer Discrescretionary,Consumer Services,%5EJ300.JO,STXFIN.JO,False,3060.0,3060.0,-1.0,-1.0,2.02,0.0,1.0,1.0,1.01,0.99,1.03,1.11,1.19
ADR.JO,Adcorp Holdings Limited,Industrials,General Industrials,%5EJ300.JO,STXFIN.JO,False,426.0,426.0,-1.0,-1.0,-1.55,0.06,1.06,1.01,0.98,1.01,1.04,1.09,1.21
ADW.JO,African Dawn Capital Ltd,Financials,Finance and Credit Services,%5EJ300.JO,STXFIN.JO,False,0.09,0.09,-1.0,-1.0,-0.32,-0.63,0.37,0.01,0.01,0.01,0.01,0.01,0.19
AEG.JO,Aveng Group Limited,Industrials,Construction Materials,%5EJ300.JO,STXFIN.JO,False,978.0,978.0,-1.0,-1.0,2.81,0.07,1.07,1.16,1.37,1.04,1.2,1.51,1.24
AEL.JO,Altron Limited,Technology,Software and Computer Services,%5EJ300.JO,STXFIN.JO,False,1720.0,1720.0,-1.0,-1.0,1.38,0.06,1.06,1.1,1.41,1.6,1.14,1.55,1.81
AFE.JO,AECI Limited,Basic Materials,Chemicals,%5EJ300.JO,STXFIN.JO,False,10647.0,10647.0,-1.0,-1.0,2.4,-0.02,0.98,0.94,0.97,0.97,0.97,1.07,1.17
AFH.JO,Alexander Forbes Grp Hldgs,Financials,Investment Banking and Brokerage Services,%5EJ300.JO,STXFIN.JO,False,655.0,655.0,-1.0,-1.0,-0.84,-0.01,0.99,0.98,1.0,0.98,1.01,1.1,1.18
AFT.JO,Afrimat Limited,Basic Materials,Industrial Metals and Mining,%5EJ300.JO,STXRES.JO,False,6320.0,6320.0,-1.0,-1.0,-1.21,-0.04,0.96,1.0,1.05,0.9,0.92,0.92,1.11
AGL.JO,Anglo American plc,Basic Materials,Industrial Metals and Mining,%5EJ300.JO,STXRES.JO,False,50765.0,50765.0,-1.0,-1.0,-1.18,-0.03,0.97,1.0,0.9,1.06,0.92,0.8,1.27
AHL.JO,AH-Vest Limited,Consumer Staples,Food Producers,%5EJ300.JO,STXFIN.JO,False,0.1,0.1,-1.0,-1.0,-0.32,-0.62,0.38,0.01,0.56,0.55,0.01,0.62,0.74
AIL.JO,African Rainbow Cap Inv,Financials,Closed end Investments,%5EJ300.JO,STXFIN.JO,False,581.0,581.0,-1.0,-1.0,-2.43,-0.0,1.0,0.88,0.96,1.09,0.91,1.06,1.3
AIP.JO,Adcock Ingram Hldgs Ltd,Healthcare,Pharmaceuticals and Biotechnology,%5EJ300.JO,STXFIN.JO,False,5671.0,5671.0,-1.0,-1.0,-0.75,-0.02,0.98,0.92,0.9,0.93,0.95,0.99,1.13
AME.JO,African Media Ent Ltd,Consumer Discrescretionary,Media,%5EJ300.JO,STXFIN.JO,False,4100.0,4100.0,-1.0,-1.0,-0.66,0.04,1.04,1.02,1.1,1.2,1.05,1.22,1.41
AMS.JO,Anglo American Plat Ltd,Basic Materials,Precious Metals and Mining,%5EJ300.JO,STXRES.JO,False,64159.0,64159.0,-1.0,-1.0,-0.06,0.03,1.03,1.13,0.91,0.76,1.04,0.8,0.97
ANG.JO,AngloGold Ashanti plc,Basic Materials,Precious Metals and Mining,%5EJ300.JO,STXRES.JO,False,55091.0,55091.0,-1.0,-1.0,1.64,0.02,1.02,1.12,1.31,1.4,1.03,1.16,1.62
ANH.JO,Anheuser-Busch InBev SA NV,Consumer Staples,Beverages,%5EJ300.JO,STXACW.JO,False,108535.0,108535.0,-1.0,-1.0,-1.34,0.01,1.01,1.02,0.9,,0.96,0.89,1.0
APN.JO,Aspen Pharmacare Hldgs Ltd,Healthcare,Pharmaceuticals and Biotechnology,%5EJ300.JO,STXFIN.JO,False,22869.0,22869.0,-1.0,-1.0,-0.97,0.01,1.01,0.94,0.86,1.0,0.97,0.95,1.21
ARA.JO,Astoria Investments Ltd,Financials,Closed end Investments,%5EJ300.JO,STXFIN.JO,False,780.0,780.0,-1.0,-1.0,0.81,-0.01,0.99,0.99,0.99,0.79,1.03,1.1,0.98
ARI.JO,African Rainbow Min Ltd,Basic Materials,Industrial Metals and Mining,%5EJ300.JO,STXRES.JO,False,18867.0,18867.0,-1.0,-1.0,-1.57,-0.06,0.94,0.91,0.9,0.99,0.84,0.8,1.2
ARL.JO,Astral Foods Ltd,Consumer Staples,Food Producers,%5EJ300.JO,STXFIN.JO,False,17132.0,17132.0,-1.0,-1.0,1.36,0.01,1.01,1.01,1.0,1.05,1.05,1.11,1.25
ART.JO,Argent Industrial Ltd,Industrials,Industrial Support Services,%5EJ300.JO,STXFIN.JO,False,2500.0,2500.0,-1.0,-1.0,2.41,0.03,1.03,1.04,1.09,1.22,1.08,1.2,1.42
ASC.JO,Ascendis Health Ltd,Healthcare,Pharmaceuticals and Biotechnology,%5EJ300.JO,STXFIN.JO,False,72.0,72.0,-1.0,-1.0,1.03,-0.05,0.95,0.84,,,0.86,,
AVI.JO,AVI Ltd,Consumer Staples,Food Producers,%5EJ300.JO,STXFIN.JO,False,9804.0,9804.0,-1.0,-1.0,0.98,0.0,1.0,0.95,0.97,0.97,0.99,1.07,1.18
AYO.JO,Ayo Tech Solutions Ltd,Technology,Software and Computer Services,%5EJ300.JO,STXFIN.JO,False,54.0,54.0,-1.0,-1.0,-0.34,-0.13,0.87,0.99,1.21,0.67,1.03,1.33,0.87
